Duration,orig_bytes,resp_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,target
127.7174518,3255.0,25337.0,14,3827,27,26429,0
125.427341,7972.0,479980.0,109,13648,364,498916,0
75.13861203,6866.0,568519.0,96,11866,421,590419,0
6.71650815,4592.0,0.0,7,4928,0,0,1
7.079455137,4592.0,0.0,7,4788,0,0,1
125.3008559,5391.0,34444.0,19,6163,34,35816,0
0.065960884,195.0,977.0,6,503,6,1297,0
0.747323036,214.0,1904596.0,401,21074,1319,1973192,0
60.09833312,56303.0,3621.0,49,58275,2,3000,1
0.055356026,195.0,976.0,6,515,5,1244,0
1.262852907,214.0,2554313.0,537,28146,1768,2646257,0
240.1359179,2862.0,2920.0,22,3759,28,4112,0
0.014463902,55.0,105.0,1,83,1,133,0
0.058018923,195.0,976.0,5,463,5,1244,0
60.1074028,51980.0,3621.0,47,53872,2,3000,1
0.833978891,214.0,2148242.0,429,22744,1488,2225638,0
0.020543098,35.0,51.0,1,63,1,79,0
0.057091951,195.0,977.0,6,503,6,1297,0
0.000292063,0.0,0.0,1,40,1,52,0
9.392037868,1342.0,1620.0,12,1834,16,2272,0
0.559493065,214.0,2118165.0,373,19618,1466,2194405,0
925.05758,6716.0,13117.0,50,8728,60,15529,0
0.038734913,524.0,4077.0,6,776,8,4409,0
134.3857989,6737.0,1247490.0,110,12465,875,1292998,0
134.3898559,7989.0,732604.0,102,13301,522,759756,0
24.989573,5747.0,393383.0,157,13931,295,410179,0
0.019160986,32.0,48.0,1,60,1,76,0
0.014225006,32.0,48.0,1,60,1,76,0
4.006556988,6329.0,0.0,6,6497,0,0,1
0.015994072,34.0,50.0,1,62,1,78,0
0.053632021,45.0,173.0,1,73,1,201,0
0.03214407,45.0,173.0,1,73,1,201,0
0.059612036,195.0,977.0,6,515,5,1245,0
66.14346099,1306.0,3098.0,14,1878,17,3790,0
1.032114029,214.0,2024915.0,291,15568,1402,2097827,0
4.016066074,6250.0,0.0,5,6390,0,0,1
0.060719967,195.0,977.0,6,515,6,1297,0
0.633651018,214.0,2130196.0,429,22530,1475,2206904,0
0.81312108,214.0,2106132.0,345,18162,1458,2181956,0
2.19e-05,0.0,0.0,1,52,1,40,0
2.41e-05,0.0,0.0,1,52,1,40,0
2.41e-05,0.0,0.0,1,52,1,40,0
2.81e-05,0.0,0.0,1,52,1,40,0
2.19e-05,0.0,0.0,1,52,1,40,0
2.88e-05,0.0,0.0,1,52,1,40,0
4.129379988,6250.0,0.0,5,6390,0,0,1
2.81e-05,0.0,0.0,1,52,1,40,0
0.028724194,197.0,3909.0,6,517,7,4269,0
3.91e-05,0.0,0.0,1,52,1,40,0
0.084055185,195.0,977.0,6,515,6,1297,0
0.623580933,214.0,2042963.0,370,19462,1414,2116499,0
0.014008999,524.0,4077.0,6,776,8,4409,0
2.38e-05,0.0,0.0,1,52,1,40,0
2.6e-05,0.0,0.0,1,52,1,40,0
4.064681053,6337.0,0.0,6,6505,0,0,1
0.088011026,195.0,977.0,6,503,6,1297,0
0.556097031,214.0,2054998.0,440,23102,1423,2129002,0
0.000280142,31.0,47.0,1,59,1,75,0
1.044127941,955.0,850.0,9,1964,9,1338,1
0.007197857,62.0,94.0,2,118,2,150,0
0.021718979,524.0,4077.0,6,776,8,4409,0
0.014376163,32.0,81.0,1,60,1,109,0
0.046150923,216.0,3916.0,6,468,7,4208,0
0.005892992,216.0,3916.0,5,428,7,4208,0
0.00467205,216.0,3916.0,6,468,7,4208,0
0.090579987,195.0,977.0,6,515,6,1297,0
6.48e-05,5700.0,0.0,5,5840,0,0,1
8.419781923,1342.0,1589.0,12,1834,15,2201,0
9.887073994,2198.0,6563.0,14,2770,16,7215,0
0.019870996,35.0,51.0,1,63,1,79,0
0.056600094,195.0,976.0,6,515,5,1244,0
0.010417938,48.0,173.0,1,76,1,201,0
0.902020931,214.0,2109141.0,417,21894,1461,2185121,0
6.051470995,2364.0,7398.0,15,2976,15,8010,0
0.012684107,49.0,189.0,1,77,1,217,0
0.031451941,191.0,4119.0,5,403,7,4411,0
0.030273914,44.0,60.0,1,72,1,88,0
2895.989402,5940.0,8508.0,153,12130,157,14812,0
130.022768,4128.0,27408.0,68,6862,94,31204,0
0.057901144,195.0,977.0,6,515,6,1297,0
0.905387878,214.0,2205395.0,387,20346,1527,2284807,0
0.012327909,47.0,216.0,1,75,1,244,0
0.022047997,47.0,167.0,1,75,1,195,0
0.011689901,47.0,166.0,1,75,1,194,0
0.021360159,57.0,121.0,1,85,1,149,0
0.021188974,57.0,133.0,1,85,1,161,0
0.090144157,195.0,977.0,6,515,6,1297,0
0.741630793,214.0,1943703.0,300,15822,1346,2013703,0
1.88e-05,0.0,0.0,1,52,1,40,0
4.008704901,6337.0,0.0,6,6505,0,0,1
2.29e-05,0.0,0.0,1,52,1,40,0
2.1e-05,0.0,0.0,1,52,1,40,0
3.19e-05,0.0,0.0,1,52,1,40,0
2.79e-05,0.0,0.0,1,52,1,40,0
60.03872299,56303.0,3621.0,49,58275,3,3207,1
2.19e-05,0.0,0.0,1,52,1,40,0
2.41e-05,0.0,0.0,1,52,1,40,0
2.29e-05,0.0,0.0,1,52,1,40,0
3.6e-05,0.0,0.0,1,52,1,40,0
2.6e-05,0.0,0.0,1,52,1,40,0
2.6e-05,0.0,0.0,1,52,1,40,0
2.1e-05,0.0,0.0,1,52,1,40,0
2e-05,0.0,0.0,1,52,1,40,0
3.7e-05,0.0,0.0,1,52,1,40,0
3e-05,0.0,0.0,1,52,1,40,0
2.5e-05,0.0,0.0,1,52,1,40,0
2.5e-05,0.0,0.0,1,52,1,40,0
2.91e-05,0.0,0.0,1,52,1,40,0
3.1e-05,0.0,0.0,1,52,1,40,0
4.51e-05,0.0,0.0,1,52,1,40,0
2.41e-05,0.0,0.0,1,52,1,40,0
3.19e-05,0.0,0.0,1,52,1,40,0
2.19e-05,0.0,0.0,1,52,1,40,0
3.7e-05,0.0,0.0,1,52,1,40,0
3.1e-05,0.0,0.0,1,52,1,40,0
3.1e-05,0.0,0.0,1,52,1,40,0
2.48e-05,0.0,0.0,1,52,1,40,0
0.061824083,195.0,977.0,6,515,6,1297,0
3.1e-05,0.0,0.0,1,52,1,40,0
3.1e-05,0.0,0.0,1,52,1,40,0
2.69e-05,0.0,0.0,1,52,1,40,0
1.91e-05,0.0,0.0,1,52,1,40,0
2.69e-05,0.0,0.0,1,52,1,40,0
2.38e-05,0.0,0.0,1,52,1,40,0
3.39e-05,0.0,0.0,1,52,1,40,0
1.98e-05,0.0,0.0,1,52,1,40,0
2.6e-05,0.0,0.0,1,52,1,40,0
2e-05,0.0,0.0,1,52,1,40,0
2.29e-05,0.0,0.0,1,52,1,40,0
2.69e-05,0.0,0.0,1,52,1,40,0
2.29e-05,0.0,0.0,1,52,1,40,0
2.79e-05,0.0,0.0,1,52,1,40,0
2.616673946,214.0,2112148.0,536,28190,1461,2188128,0
2.22e-05,0.0,0.0,1,52,1,40,0
1.986753941,1119.0,6537.0,11,1571,16,7189,0
0.52767086,10100.0,2009.0,19,10872,22,2901,1
2.093433142,1061.0,5653.0,13,1593,18,6385,0
2.5e-05,0.0,0.0,1,52,1,40,0
2.208680153,3364.0,14003.0,13,3896,25,15015,0
2.98e-05,0.0,0.0,1,52,1,40,0
2.91e-05,0.0,0.0,1,52,1,40,0
2.5e-05,0.0,0.0,1,52,1,40,0
2.6e-05,0.0,0.0,1,52,1,40,0
3.1e-05,0.0,0.0,1,52,1,40,0
3e-05,0.0,0.0,1,52,1,40,0
2.167454004,1368.0,6411.0,13,1900,16,7063,0
50.06520915,6306.0,692644.0,167,15222,514,719392,0
2.29e-05,0.0,0.0,1,52,1,40,0
3.1e-05,0.0,0.0,1,52,1,40,0
3.31e-05,0.0,0.0,1,52,1,40,0
2.19e-05,0.0,0.0,1,52,1,40,0
2.6e-05,0.0,0.0,1,52,1,40,0
0.020069838,47.0,63.0,1,75,1,91,0
0.000457048,31.0,47.0,1,59,1,75,0
0.018983126,47.0,111.0,1,75,1,139,0
0.083199978,195.0,977.0,6,515,5,1245,0
4.1e-05,0.0,0.0,1,52,1,40,0
60.10658622,51980.0,3621.0,46,53832,3,3207,1
1.79e-05,0.0,0.0,1,52,1,40,0
0.031083107,36.0,118.0,1,64,1,146,0
0.000211954,31.0,47.0,1,59,1,75,0
0.023090124,36.0,118.0,1,64,1,146,0
0.945373058,214.0,2064021.0,356,18734,1429,2138337,0
3.5e-05,0.0,0.0,1,52,1,40,0
0.017499924,33.0,49.0,1,61,1,77,0
2.98e-05,0.0,0.0,1,52,1,40,0
0.000232935,31.0,47.0,1,59,1,75,0
0.017066002,44.0,199.0,1,72,1,227,0
